Проект,project_id,Критерий,критерий_код,Тип (авто),Оставить (defect/opinion),Строка,Файл (якорь),URL (якорь),Цитата/фраза (якорь),Текст кейса,SDP
CbS11_Enterprise_IT_landscape.ID_1573765-master,cbs11_enterprise_it_landscape_id_1573765_master__b612154a,Грамотность и читаемость текста,readability,defect,defect,,,,,"На схеме в задании у половины хостов домен ""COMPANY"", а у другой половины - ""COMANY"" (буква P пропущена) - выглядит как опечатка",https://jira.21-school.ru/browse/SDP-6885
CbS4_Networking_basics_Part_4.ID_1521091-master,cbs4_networking_basics_part_4_id_1521091_master__2829d3ee,Соответствие заданий проекта чек-листу,checklist_alignment,defect,defect,,,,,"Следов выполнения команды whoami через Reverse Shell в прилагаемом к заданию 2 проекта CbS4_Networking_basics_Part 4 файле дампа (pcapng) просто нет. В качестве подтверждения присылаю скрины по разбору TCP потока из WireShark. Не очень хочется, чтобы последующим пирам снижали оценку за несуществующие ошибки выполнения",https://jira.21-school.ru/browse/SDP-6536
AP1_Go_T02.ID_1375360-master,ap1_go_t02_id_1375360_master__2369287e,Грамотность и читаемость текста,readability,defect,defect,13,,,chapter ii; chapter iii,"13 - Дублирующийся якорь #chapter-ii, заголовок назван «Chapter II», хотя по смыслу должно быть «Chapter III» - «Chapter III», якорь #chapter-iii",https://jira.21-school.ru/browse/SDP-6700
AP1_Go_T02.ID_1375360-master,ap1_go_t02_id_1375360_master__2369287e,Грамотность и читаемость текста,readability,defect,defect,38,,,chapter i; chapter ii,"38 - Заголовок «Chapter I» повторяется второй раз (уже был в с.20), по аналогии с первым проектом буткемпа здесь должно быть «Chapter II» - «Chapter II»",https://jira.21-school.ru/browse/SDP-6700
AP1_Go_T02.ID_1375360-master,ap1_go_t02_id_1375360_master__2369287e,Грамотность и читаемость текста,readability,defect,defect,60,,,chapter ii; chapter iii,"60 - Заголовок «Chapter II» — с учётом ошибки выше, фактически это уже третья глава - «Chapter III»",https://jira.21-school.ru/browse/SDP-6700
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Актуальность,actuality,defect,defect,5,,https://new.oprosso.net,,5 - Сломанная ссылка: обратный слеш вместо прямого в https:/\new.oprosso.net - https://new.oprosso.net,https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Точность и корректность,correctness,defect,defect,45,,,компилируемый многопоточный язык; компилируемый язык программирования с поддержк,45 - «компилируемый многопоточный язык» — Go не является многопоточным в классическом смысле - «компилируемый язык программирования с поддержкой конкурентности»,https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Грамотность и читаемость текста,readability,defect,defect,75,,,установка для редактора visual studio code; хорошим выбором также является плаги,75 - «установка для редактора Visual Studio Code» — неловкая формулировка - «хорошим выбором также является плагин Go для Visual Studio Code»,https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Точность и корректность,correctness,defect,defect,83,,,все 3 ссылки статичны,83 - «Все 3 ссылки статичны» — поменять местами 83 и 85,https://jira.21-school.ru/browse/SDP-6673
AP1_Go_T01.ID_1375359-master,ap1_go_t01_id_1375359_master__cbbde273,Грамотность и читаемость текста,readability,defect,defect,101-110,,,,101–110 - Все 10 пунктов пронумерованы как 1) - Пронумеровать от 1) до 10),https://jira.21-school.ru/browse/SDP-6673
