finding_id,project,criterion,checker,file,line,quote,flagged_defect,suggested_fix,subtype_hidden,verdict[real|style|wrong],note
fnd_bca547cce576,DSB2_Syntax_Semantics.ID_886511-master,readability,spelling_wording_checker,README.md,324,That’s a precondition for the professionals that our company hires.,Неудачный выбор слова: precondition здесь звучит неестественно и мешает пониманию.,That’s a requirement for the professionals that our company hires.,wording,,
fnd_a0a30f5b661d,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README.md,206,c. `Example: Save \n Ivanov Ivan Ivanovich \n orthopedist \n 2024-04-13`,"Текст примера оформлен как кодовой фрагмент внутри пункта списка; из-за этого маркеры и пример выглядят смешанно. Это не ошибка кода, но неудачное оформление цитирования/выделения.",Оформить пример без внешних бэктиков: c. Example: Save \n Ivanov Ivan Ivanovich \n orthopedist \n 2024-04-13,quote_style,,
fnd_96aa9f3983b6,AP1_Go_T02.ID_1375360-master,readability,spelling_wording_checker,README_RUS.md,72,Время сна — количество миллисекунд сна.,"Неудачная формулировка: повторяется слово «сна», из-за чего фраза звучит тяжеловесно.","Время сна — количество миллисекунд, в течение которых спит горутина.",wording,,
fnd_9e00dfd7db7e,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README_RUS.md,108,1) Операнды и операция вводятся в консоли через нажатие Enter.,Фраза звучит неестественно: «через нажатие Enter» лучше заменить более прямой формулировкой.,«Операнды и операция вводятся в консоль с нажатием Enter.»,wording,,
fnd_be7a6693a734,AP1_Jv_T04B.ID_1421426-master,readability,spelling_wording_checker,README.md,90,an authorization method that takes the login and password in the header as base64(login:password) and returns the user's UUID.,"Фраза сформулирована неуклюже: ""takes the login and password in the header"" звучит тяжеловесно и неестественно.",an authorization method that takes the login and password from the header as base64(login:password) and returns the user's UUID.,wording,,
fnd_67ae07ee574d,AP1_Jv_T04B.ID_1421426-master,readability,spelling_wording_checker,README.md,51,uniquely defining the subject in the information system,Повторяется смысл «unique/uniquely».,Заменить на: «defining the subject in the information system»,tautology,,
fnd_75fd05338201,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README_RUS.md,136,1) Программа сортирует результирующий массив по убыванию и возвращает K первых слов.,"Неудачная формулировка: для словосочетания «сортирует ... по убыванию» не хватает указания, по какому признаку ведётся сортировка.",Программа сортирует результирующий массив по убыванию частоты и возвращает K первых слов.,wording,,
fnd_44b078c786c6,DSB2_Syntax_Semantics.ID_886511-master,readability,spelling_wording_checker,README.md,251,"When there are two commas in a row in the string, the program should not display anything.","Фраза сформулирована неудачно: ""in a row"" и ""in the string"" делают предложение громоздким.","When there are two commas in a row, the program should not display anything.",wording,,
fnd_886401195dbd,AP1_Go_T02.ID_1375360-master,readability,spelling_wording_checker,README_RUS.md,45,в среднем 4 Кб,Неверное написание единицы измерения: в русском тексте лучше использовать «КБ» или «КБ» без смешения с латиницей.,в среднем 4 КБ,typo,,
fnd_4597053a5e15,AP1_Go_T02.ID_1375360-master,readability,spelling_wording_checker,README.md,88,returns channel 2,"Неудачная формулировка: здесь тоже лучше явно назвать канал, чтобы избежать двусмысленности.",заменить на «returns the second channel» или «returns channel 2 (`ch2`)»,wording,,
fnd_52cf71fab155,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README.md,5,We recommend completing the survey immediately after finishing the project.,Фраза звучит неестественно и повторяет смысл без необходимости.,We recommend completing the survey right after finishing the project.,wording,,
fnd_bb0c39fcb667,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README.md,201,the doctor's specialization,В соседнем предложении используется другая форма с апострофом и без согласования по стилю: visitor’s / doctor's. Для единообразия лучше привести к одной форме.,the doctor’s specialization,case,,
fnd_4c0e621243d5,AP1_Go_T02.ID_1375360-master,readability,spelling_wording_checker,README_RUS.md,33,в одноименный репозиторий,"Неудачное согласование: слово стоит в форме мужского рода, но с существительным «репозиторий» лучше использовать форму, согласованную с контекстом фразы.",Перед выполнением проект необходимо склонировать с GitLab в одноимённый репозиторий.,case,,
fnd_236df1220704,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README.md,94,"- **Go Proverbs** — search for the article using keywords like “Go proverbs” (in Russian), original version: “go proverbs”.",Смешаны кавычки одного типа с английским текстом; здесь лучше использовать единообразное оформление поисковых запросов.,"Привести к одному стилю, например: ""- **Go Proverbs** — search for the article using keywords like ""Go proverbs"" (in Russian); the original version: ""go proverbs"".""",quote_style,,
fnd_e56fb332fb61,CbS11_Enterprise_IT_landscape.ID_1573765-master,readability,spelling_wording_checker,README.md,35,Все файлы с кодом необходимо создавать в папке src склонированного репозитория.,Неудачная формулировка: слово «склонированного» звучит разговорно и тяжеловесно в данном контексте.,Все файлы с кодом необходимо создавать в папке src клонированного репозитория.,wording,,
fnd_884539715e45,AP1_Go_T01.ID_1375359-master,readability,spelling_wording_checker,README_RUS.md,109,1) Операнды имеют тип Float64.,"Название типа в русском тексте выглядит как англоязычный термин, лучше унифицировать написание с программным обозначением.",«Операнды имеют тип float64.»,case,,
