Проект,SDP/ревью,Проблема,Детали
Проекты в тест,,,
CbS11_Enterprise_IT_andscape,https://jira.21-school.ru/browse/SDP-6885,Грамотность и читаемость текста,"На схеме в задании у половины хостов домен ""COMPANY"", а у другой половины - ""COMANY"" (буква P пропущена) - выглядит как опечатка
"
CbS4_Networking_basics_Part 4. ,https://jira.21-school.ru/browse/SDP-6536,Соответствие заданий проекта чек-листу,"Следов выполнения команды whoami через Reverse Shell в прилагаемом к заданию 2 проекта CbS4_Networking_basics_Part 4 файле дампа (pcapng) просто нет. В качестве подтверждения присылаю скрины по разбору TCP потока из WireShark. Не очень хочется, чтобы последующим пирам снижали оценку за несуществующие ошибки выполнения

 Предложение по решению: 
Убрать из чек-листа задания 2 проекта CbS4 указание на команду whoami
 Аргументы и исследования на тему: 
Скрины с последовательным  разбором файла дампа в треде"
AP1_Go_T02,https://jira.21-school.ru/browse/SDP-6700,Грамотность и читаемость текста,"строка - проблема - решение
13 - Дублирующийся якорь #chapter-ii, заголовок назван «Chapter II», хотя по смыслу должно быть «Chapter III» - «Chapter III», якорь #chapter-iii
38 - Заголовок «Chapter I» повторяется второй раз (уже был в с.20), по аналогии с первым проектом буткемпа здесь должно быть «Chapter II» - «Chapter II»
60 - Заголовок «Chapter II» — с учётом ошибки выше, фактически это уже третья глава - «Chapter III»"
AP1_Go_T01,https://jira.21-school.ru/browse/SDP-6673,Точность и корректность,"5 - Сломанная ссылка: обратный слеш вместо прямого в https:/\new.oprosso.net - https://new.oprosso.net
45 - «компилируемый многопоточный язык» — Go не является многопоточным в классическом смысле - «компилируемый язык программирования с поддержкой конкурентности»
75 - «установка для редактора Visual Studio Code» — неловкая формулировка - «хорошим выбором также является плагин Go для Visual Studio Code»
83 - «Все 3 ссылки статичны» — поменять местами 83 и 85
101–110 - Все 10 пунктов пронумерованы как 1) - Пронумеровать от 1) до 10)
119 - Отсутствует двоеточие: Input operation - Input operation:
122 - Отсутствует двоеточие: Input right operand - Input right operand:
131 - Противоречие: «отсортированный по возрастанию», но пример и с.136 подразумевают убывание частоты - «отсортированный по убыванию частоты»
133–145 - Все 10 пунктов пронумерованы как 1) - Пронумеровать от 1) до 10)
140 - «Словом является любой символ, разделенный пробелами» — слово это не символ, а последовательность символов - «Словом является любая последовательность символов, разделённая пробелами»
171–172 - Тавтология: «завершить нажатие нужно нажатием Enter» - «завершить ввод нужно нажатием Enter»
173 - Грамматика: «поступают неупорядоченные» - «поступают неупорядоченными»
192 - Кавычки вокруг «Empty intersection» — в остальных местах ошибки пишутся с обычными скобочками или бэктиками - привести в один вид
192–193 - Нумерация сбита: после блока 1) идут 1) и 2) - Продолжить как 6) и 7)
197–211 - Все 5 пунктов пронумерованы как 1) - Пронумеровать от 1) до 5)
198 - Грамматика: «специализацию врача… и дата визита» - «и дату визита»"
BSA08,https://jira.21-school.ru/browse/SDP-6626,Соответствие заданий проекта чек-листу,"Разнятся рекомендуемые названия в файлах в условии проекта и в чек-листе
:small_blue_diamond: Description: В проекте BSA08 в readme и readme_rus рекомендуется называть файлы xxx_UC.dox, в чек-листе же xxx_usecase.dox"
SQLB1_Basics,https://jira.21-school.ru/browse/SDP-6548,Точность и корректность,"Отсутствует ВМ для выполнения SQLB1_Basics
:small_blue_diamond: Description: В инструкции из папки materials приведен путь /opt/source21, откуда нужно импортировать ВМ для выполнения задания. По факту директория source21 отсутствует. 
 Предложение по решению: 
1) Создать директорию и выложить туда образ или внести правки в инструкию, указав корректный путь.
2) В обоих случаях убедиться, что импорт отрабатывает корректно на школьных ПК."
SQLB3,https://jira.21-school.ru/browse/SDP-6608,Соответствие заданий проекта чек-листу,"не прописано условие self-join
:small_blue_diamond: Description: В SQLB3 в задании 10 требуется найти пары людей, проживающих по одному адресу, и вывести результат в трёх колонках: person_name1, person_name2, common_address. Однако в задании не специфицировано, каким образом выбирать, кто из двух людей попадает в колонку person_name1, а кто — в person_name2.
В чеклисте ожидается условие p1.id > p2.id. У пира с решением, например, p1.id < p2.id, вывод будет отличаться от ожидаемого в чеклисте, хотя формально решение проходит по всем условиям задачи, т.к. оба варианта дадут полный набор уникальных пар.
"
SQLB11,https://jira.21-school.ru/browse/SDP-6586,Соответствие заданий проекта чек-листу,":small_blue_diamond: Description: По заданию нужно найти пиццерии, где был человек в определённый день и где мог заказать пиццу дешевле определённой суммы.
В чек листе на втором наборе тестовых параметров правильным результатов считается вывод из 4 строк Pizza Hut, что бесмысленно, достаточно одной
 Предложение по решению: 
Либо поменять задание, что в результате работы функции/запроса нужно получить не просто список пиццерий, а пицериии и конкретные пиццы, которые можно было заказать дешевле определенной суммы.
Либо поменять чеклист, и оставить во втором кейсе вывод с 1 строкой ""Pizza Hut""
 Аргументы и исследования на тему: 
Все разъяснения приведены выше по тексту"
 FEB1_js,https://jira.21-school.ru/browse/SDP-6555,Точность и корректность,"в задание 7 приведна таблица вывода где написано что возвращается объект со всеми купюраками (и теми что 0 и теми что имеют какое-то значение)
но уже в файле для задания (atm.js) написано что выводится только те которые имеют какое либо число, отличное от 0
как-то нало это между собой состыковать"
